age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,salary
68,Self-emp,Masters,10,Widowed,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,24,109035
57,Unemployed,Bachelors,3,Separated,Craft-repair,Wife,Black,Female,21,96705
32,Government,Doctorate,7,Divorced,Sales,Husband,Black,Male,18,140587
38,Unemployed,Bachelors,4,Divorced,Tech-support,Husband,Amer-Indian-Eskimo,Male,14,46270
64,Government,Assoc,13,Single,Prof-specialty,Wife,Other,Male,53,91428
26,Private,HS-grad,13,Separated,Tech-support,Wife,Amer-Indian-Eskimo,Male,19,50999
26,Government,Assoc,8,Widowed,Sales,Unmarried,Black,Female,77,52025
27,Private,Masters,9,Separated,Exec-managerial,Not-in-family,Black,Female,57,116750
69,Unemployed,Bachelors,7,Separated,Craft-repair,Own-child,White,Male,64,40203
43,Government,Bachelors,8,Single,Tech-support,Unmarried,White,Male,80,78233
58,Unemployed,Doctorate,8,Divorced,Tech-support,Unmarried,Black,Male,2,79984
52,Private,Some-college,2,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,57,31209
69,Government,Bachelors,9,Separated,Craft-repair,Husband,Amer-Indian-Eskimo,Female,34,98547
42,Unemployed,Assoc,6,Separated,Prof-specialty,Wife,Black,Female,49,60699
43,Private,Masters,11,Married,Prof-specialty,Not-in-family,Black,Female,90,80330
28,Unemployed,HS-grad,4,Separated,Exec-managerial,Husband,White,Male,54,29616
55,Self-emp,Bachelors,15,Separated,Tech-support,Unmarried,Amer-Indian-Eskimo,Female,22,85651
19,Private,HS-grad,5,Widowed,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,84,53603
24,Private,Bachelors,10,Married,Craft-repair,Husband,Other,Male,93,93569
35,Private,Masters,5,Separated,Exec-managerial,Own-child,Black,Female,82,99217
44,Government,Some-college,7,Separated,Other-service,Unmarried,Other,Male,93,35687
51,Government,Assoc,14,Single,Exec-managerial,Husband,White,Male,44,66748
44,Government,Masters,9,Single,Exec-managerial,Husband,Other,Male,91,126583
34,Self-emp,HS-grad,7,Married,Sales,Unmarried,Asian-Pac-Islander,Male,35,45193
60,Self-emp,Bachelors,9,Widowed,Sales,Own-child,Black,Male,29,48081
61,Private,HS-grad,4,Married,Exec-managerial,Wife,Black,Male,6,32976
68,Self-emp,Assoc,10,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,37,51184
41,Unemployed,Masters,14,Single,Craft-repair,Unmarried,Other,Female,89,95135
42,Private,HS-grad,10,Single,Tech-support,Wife,Amer-Indian-Eskimo,Female,85,42645
24,Private,HS-grad,4,Widowed,Other-service,Husband,Other,Male,58,40396
69,Unemployed,Assoc,6,Separated,Craft-repair,Own-child,Other,Female,64,54385
23,Private,Bachelors,8,Widowed,Tech-support,Own-child,White,Female,31,90641
41,Self-emp,HS-grad,14,Separated,Sales,Wife,Other,Female,50,27059
50,Government,Assoc,9,Divorced,Other-service,Husband,Amer-Indian-Eskimo,Male,80,55843
66,Unemployed,Bachelors,1,Single,Craft-repair,Own-child,Other,Female,60,72079
46,Self-emp,Some-college,1,Divorced,Prof-specialty,Wife,Other,Male,14,23818
60,Unemployed,Bachelors,13,Divorced,Exec-managerial,Own-child,Black,Male,70,43250
39,Unemployed,Some-college,8,Single,Tech-support,Husband,Black,Male,11,30698
43,Private,Masters,11,Divorced,Tech-support,Husband,Black,Male,27,113499
45,Private,Assoc,7,Married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,69,80061
67,Self-emp,Bachelors,9,Separated,Prof-specialty,Wife,Black,Male,79,89603
38,Unemployed,Some-college,11,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,38,32498
66,Private,Some-college,3,Single,Sales,Own-child,Asian-Pac-Islander,Female,62,18542
24,Private,Masters,10,Married,Craft-repair,Husband,Amer-Indian-Eskimo,Female,53,72172
34,Unemployed,Doctorate,12,Widowed,Craft-repair,Own-child,Black,Male,80,122127
37,Self-emp,Assoc,5,Widowed,Craft-repair,Own-child,Other,Female,18,44982
58,Self-emp,Doctorate,3,Widowed,Sales,Unmarried,White,Female,97,97265
66,Unemployed,Bachelors,15,Divorced,Exec-managerial,Husband,Other,Male,99,92644
37,Self-emp,Assoc,5,Divorced,Craft-repair,Not-in-family,Black,Female,52,93453
39,Private,Masters,10,Divorced,Tech-support,Wife,Other,Male,24,138650
45,Unemployed,Bachelors,1,Divorced,Tech-support,Own-child,Black,Female,99,97363
57,Private,Assoc,14,Married,Tech-support,Unmarried,Black,Male,7,77125
66,Government,Assoc,11,Divorced,Prof-specialty,Unmarried,Other,Male,14,58790
24,Government,Doctorate,4,Single,Prof-specialty,Wife,Asian-Pac-Islander,Female,50,108044
18,Self-emp,Bachelors,6,Widowed,Sales,Wife,Amer-Indian-Eskimo,Male,94,99858
49,Government,Masters,2,Married,Craft-repair,Husband,Amer-Indian-Eskimo,Female,24,93146
30,Private,Masters,13,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,79,135993
47,Government,Bachelors,7,Widowed,Tech-support,Own-child,Amer-Indian-Eskimo,Male,13,60229
40,Private,Bachelors,8,Married,Prof-specialty,Wife,White,Female,19,81793
68,Self-emp,Some-college,1,Widowed,Tech-support,Not-in-family,Black,Female,29,28802
36,Self-emp,HS-grad,13,Married,Craft-repair,Own-child,White,Female,22,42418
49,Private,Doctorate,4,Separated,Sales,Unmarried,Amer-Indian-Eskimo,Male,2,126403
47,Government,Bachelors,11,Married,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,77,82745
46,Self-emp,Bachelors,4,Divorced,Exec-managerial,Own-child,Other,Male,36,71422
66,Unemployed,HS-grad,13,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Female,38,26722
62,Self-emp,HS-grad,5,Widowed,Prof-specialty,Wife,Black,Female,18,52727
46,Government,Assoc,14,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Female,51,48656
47,Unemployed,Masters,12,Single,Tech-support,Husband,Amer-Indian-Eskimo,Female,15,118701
33,Government,Doctorate,12,Single,Craft-repair,Wife,White,Female,99,135772
57,Private,Assoc,4,Divorced,Tech-support,Wife,Black,Male,52,68587
36,Unemployed,Bachelors,9,Separated,Craft-repair,Own-child,Asian-Pac-Islander,Male,17,59336
35,Government,HS-grad,7,Single,Sales,Husband,Other,Female,77,34566
18,Unemployed,Some-college,13,Married,Sales,Wife,Asian-Pac-Islander,Female,22,19581
31,Government,Masters,2,Divorced,Tech-support,Unmarried,White,Female,54,82306
68,Unemployed,Assoc,1,Separated,Sales,Husband,Amer-Indian-Eskimo,Male,52,81259
64,Government,Some-college,9,Married,Prof-specialty,Own-child,Other,Male,85,32989
67,Private,Masters,1,Widowed,Craft-repair,Not-in-family,Black,Female,90,74093
19,Unemployed,Some-college,6,Single,Exec-managerial,Wife,Other,Male,46,28736
45,Unemployed,HS-grad,16,Married,Exec-managerial,Not-in-family,White,Male,4,43708
66,Unemployed,Assoc,15,Separated,Sales,Wife,Amer-Indian-Eskimo,Female,7,50169
67,Unemployed,Assoc,15,Divorced,Craft-repair,Own-child,White,Male,10,73414
47,Private,Masters,2,Married,Prof-specialty,Own-child,Black,Male,15,87896
55,Unemployed,Some-college,16,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Male,26,18174
68,Self-emp,HS-grad,4,Widowed,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,80,46180
21,Private,Bachelors,6,Separated,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,40,64667
18,Self-emp,Assoc,5,Separated,Exec-managerial,Husband,White,Male,98,90323
25,Unemployed,Bachelors,16,Single,Exec-managerial,Wife,White,Male,61,61499
46,Government,HS-grad,11,Separated,Sales,Husband,White,Male,81,46290
56,Self-emp,Assoc,6,Married,Craft-repair,Wife,Amer-Indian-Eskimo,Female,16,87407
20,Unemployed,Assoc,3,Married,Tech-support,Husband,White,Female,98,82787
49,Self-emp,Some-college,5,Married,Craft-repair,Husband,Other,Female,93,19912
27,Unemployed,Bachelors,2,Widowed,Tech-support,Husband,Other,Female,18,68487
27,Unemployed,Some-college,7,Separated,Exec-managerial,Unmarried,Other,Female,75,36325
36,Unemployed,Doctorate,3,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,76,98259
63,Government,Bachelors,1,Married,Craft-repair,Unmarried,White,Female,2,49824
51,Self-emp,Bachelors,14,Single,Prof-specialty,Husband,Black,Male,54,88315
50,Private,Doctorate,8,Single,Craft-repair,Husband,White,Male,18,114542
40,Private,HS-grad,8,Separated,Other-service,Unmarried,Amer-Indian-Eskimo,Male,54,56747
45,Private,HS-grad,3,Separated,Craft-repair,Wife,Other,Male,38,39497
49,Private,Assoc,13,Divorced,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,97,87961
67,Unemployed,Masters,7,Separated,Other-service,Wife,White,Male,73,79148
24,Self-emp,Some-college,9,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,15,35904
46,Self-emp,Masters,8,Widowed,Exec-managerial,Not-in-family,Black,Female,64,91650
25,Government,Assoc,3,Separated,Sales,Own-child,Amer-Indian-Eskimo,Male,92,65024
18,Self-emp,Masters,15,Separated,Sales,Wife,Asian-Pac-Islander,Female,8,102355
20,Self-emp,Bachelors,13,Married,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,46,95019
41,Self-emp,Bachelors,2,Divorced,Exec-managerial,Not-in-family,White,Male,39,49777
40,Government,Doctorate,13,Separated,Other-service,Not-in-family,Asian-Pac-Islander,Male,52,105884
25,Private,Doctorate,10,Single,Craft-repair,Husband,Other,Female,8,140707
64,Self-emp,Assoc,16,Single,Tech-support,Not-in-family,White,Male,50,43847
54,Government,Assoc,7,Single,Craft-repair,Unmarried,Black,Female,50,69415
20,Government,Assoc,7,Widowed,Other-service,Wife,Amer-Indian-Eskimo,Male,83,64669
68,Unemployed,Bachelors,9,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,68,72255
50,Government,Masters,5,Separated,Craft-repair,Unmarried,White,Male,27,126009
45,Private,Some-college,4,Separated,Tech-support,Wife,Amer-Indian-Eskimo,Female,77,38829
64,Self-emp,Assoc,8,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,38,69028
25,Government,Assoc,14,Widowed,Other-service,Unmarried,Other,Male,21,48991
51,Private,Bachelors,4,Separated,Tech-support,Unmarried,Amer-Indian-Eskimo,Male,90,40359
52,Government,Some-college,16,Married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,45,38253
49,Government,Bachelors,4,Divorced,Other-service,Wife,Other,Female,58,57519
41,Government,Some-college,12,Single,Craft-repair,Wife,Amer-Indian-Eskimo,Female,23,24285
31,Government,Bachelors,14,Single,Tech-support,Wife,Other,Female,54,66033
49,Government,Masters,12,Married,Other-service,Unmarried,Black,Male,30,88673
63,Private,Assoc,2,Separated,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,95,91554
60,Self-emp,HS-grad,13,Widowed,Prof-specialty,Wife,White,Female,95,57499
33,Self-emp,HS-grad,15,Separated,Sales,Own-child,Asian-Pac-Islander,Female,16,44648
21,Self-emp,Assoc,1,Separated,Tech-support,Wife,Black,Female,52,96553
69,Self-emp,Assoc,4,Single,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,41,58713
54,Private,Assoc,7,Single,Exec-managerial,Own-child,White,Male,71,93290
38,Unemployed,Assoc,12,Widowed,Prof-specialty,Wife,Asian-Pac-Islander,Male,81,79203
31,Unemployed,Some-college,16,Single,Craft-repair,Unmarried,Other,Female,24,22772
48,Private,Masters,9,Separated,Sales,Wife,Amer-Indian-Eskimo,Female,20,80389
65,Private,HS-grad,16,Married,Tech-support,Not-in-family,Other,Male,27,39487
35,Government,Doctorate,9,Widowed,Other-service,Not-in-family,Black,Male,2,145127
24,Government,HS-grad,12,Married,Exec-managerial,Wife,Asian-Pac-Islander,Female,60,51429
27,Government,HS-grad,10,Separated,Sales,Unmarried,Asian-Pac-Islander,Female,51,33901
24,Self-emp,Bachelors,15,Widowed,Exec-managerial,Unmarried,Other,Male,1,84318
50,Government,Assoc,1,Married,Prof-specialty,Unmarried,Other,Female,98,69935
40,Unemployed,Assoc,5,Widowed,Exec-managerial,Wife,Black,Male,91,62814
38,Self-emp,Assoc,7,Separated,Exec-managerial,Wife,White,Female,6,60143
36,Government,Bachelors,13,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,38,41542
65,Self-emp,Masters,7,Separated,Prof-specialty,Not-in-family,White,Female,54,82313
36,Unemployed,Masters,10,Widowed,Sales,Own-child,Asian-Pac-Islander,Female,60,93464
53,Government,Doctorate,16,Widowed,Tech-support,Own-child,Amer-Indian-Eskimo,Female,27,117340
46,Unemployed,Masters,6,Single,Prof-specialty,Not-in-family,Black,Male,80,126012
35,Unemployed,Masters,16,Separated,Sales,Husband,White,Female,62,81217
19,Unemployed,Assoc,11,Divorced,Exec-managerial,Not-in-family,White,Female,63,62411
18,Government,Some-college,10,Widowed,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,99,27470
64,Private,HS-grad,4,Married,Other-service,Husband,Black,Male,91,28025
22,Government,Masters,3,Single,Craft-repair,Unmarried,Black,Female,35,112027
37,Unemployed,Masters,12,Single,Prof-specialty,Not-in-family,White,Male,58,136727
28,Government,Bachelors,13,Widowed,Sales,Own-child,White,Female,61,81976
59,Unemployed,Doctorate,9,Divorced,Other-service,Wife,Other,Male,36,139553
19,Private,Some-college,15,Single,Sales,Wife,Amer-Indian-Eskimo,Male,92,19564
20,Self-emp,Bachelors,12,Separated,Tech-support,Not-in-family,Black,Female,56,96691
40,Private,Assoc,13,Widowed,Other-service,Wife,Asian-Pac-Islander,Male,67,98842
29,Private,HS-grad,10,Widowed,Sales,Husband,Amer-Indian-Eskimo,Female,57,54459
37,Self-emp,Doctorate,4,Divorced,Prof-specialty,Wife,Other,Female,41,94755
22,Government,Bachelors,8,Separated,Sales,Husband,Amer-Indian-Eskimo,Female,31,72822
54,Self-emp,Masters,13,Separated,Craft-repair,Husband,White,Female,3,143006
55,Government,Masters,1,Divorced,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,38,122587
47,Government,Doctorate,7,Married,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,53,141702
26,Unemployed,Masters,12,Separated,Other-service,Own-child,Amer-Indian-Eskimo,Male,52,139031
51,Unemployed,Bachelors,6,Married,Sales,Wife,Asian-Pac-Islander,Male,24,89402
61,Self-emp,Bachelors,13,Married,Sales,Husband,Other,Male,26,78368
52,Private,Masters,12,Widowed,Sales,Wife,Amer-Indian-Eskimo,Female,92,74091
69,Self-emp,Masters,1,Widowed,Sales,Own-child,Amer-Indian-Eskimo,Female,73,124784
39,Government,Assoc,15,Single,Craft-repair,Unmarried,Asian-Pac-Islander,Male,37,72325
61,Unemployed,HS-grad,4,Widowed,Prof-specialty,Own-child,Black,Male,91,53673
41,Self-emp,Doctorate,12,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Female,48,122980
34,Self-emp,Bachelors,15,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,67,67198
27,Unemployed,Doctorate,14,Married,Craft-repair,Own-child,Black,Male,41,85910
47,Unemployed,Assoc,5,Separated,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,49,74649
63,Unemployed,Bachelors,11,Widowed,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,28,43928
40,Government,Assoc,8,Widowed,Sales,Wife,Amer-Indian-Eskimo,Female,32,74612
49,Unemployed,Assoc,15,Widowed,Craft-repair,Unmarried,Other,Female,99,63061
34,Private,Some-college,4,Divorced,Sales,Own-child,White,Male,71,39961
67,Self-emp,Masters,3,Separated,Other-service,Own-child,Other,Female,71,125347
68,Unemployed,Some-college,2,Single,Prof-specialty,Wife,Black,Male,85,33317
34,Unemployed,Doctorate,4,Separated,Exec-managerial,Own-child,Other,Female,32,86528
31,Government,Doctorate,11,Separated,Prof-specialty,Wife,Other,Male,38,103087
26,Government,Masters,10,Divorced,Other-service,Husband,Asian-Pac-Islander,Female,20,95063
57,Self-emp,Some-college,14,Separated,Prof-specialty,Unmarried,Black,Female,8,38136
19,Private,Doctorate,13,Married,Exec-managerial,Wife,Black,Female,68,74463
62,Self-emp,Some-college,4,Widowed,Sales,Unmarried,Black,Male,26,18609
42,Unemployed,Masters,13,Widowed,Other-service,Husband,Other,Female,79,88071
56,Private,Bachelors,10,Divorced,Other-service,Unmarried,Black,Female,70,47544
26,Private,Assoc,5,Widowed,Sales,Wife,Asian-Pac-Islander,Male,48,48470
39,Private,Assoc,13,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,96,55993
60,Private,Some-college,7,Divorced,Exec-managerial,Unmarried,Other,Male,69,23254
63,Self-emp,Doctorate,9,Single,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,46,134067
21,Government,Some-college,2,Widowed,Tech-support,Husband,Amer-Indian-Eskimo,Male,58,24331
43,Government,Some-college,5,Separated,Craft-repair,Not-in-family,Other,Female,70,16673
46,Unemployed,HS-grad,16,Married,Craft-repair,Own-child,Other,Male,67,41382
62,Government,Assoc,11,Married,Prof-specialty,Wife,Black,Male,29,75211
51,Government,Masters,10,Widowed,Tech-support,Husband,Asian-Pac-Islander,Female,83,132238
40,Government,Some-college,9,Single,Sales,Wife,Other,Male,10,15820
54,Government,HS-grad,12,Separated,Craft-repair,Wife,Amer-Indian-Eskimo,Male,71,35264
28,Unemployed,HS-grad,14,Single,Exec-managerial,Unmarried,Other,Female,65,31494
23,Self-emp,Assoc,13,Single,Craft-repair,Husband,Asian-Pac-Islander,Female,65,89435
35,Private,Assoc,3,Widowed,Sales,Husband,White,Male,17,57256
38,Government,Assoc,1,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,22,78552
59,Self-emp,Masters,2,Widowed,Other-service,Not-in-family,White,Female,14,99944
53,Government,HS-grad,14,Widowed,Prof-specialty,Wife,White,Male,6,54399
58,Government,Doctorate,6,Married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,30,89094
55,Private,Masters,16,Widowed,Craft-repair,Own-child,Other,Female,47,115348
51,Private,Bachelors,5,Divorced,Prof-specialty,Wife,White,Female,97,52323
34,Private,Some-college,1,Separated,Exec-managerial,Unmarried,Black,Male,20,15236
54,Government,Assoc,1,Married,Tech-support,Unmarried,Other,Male,16,73114
42,Government,HS-grad,11,Separated,Craft-repair,Wife,Amer-Indian-Eskimo,Male,68,59978
55,Government,Some-college,4,Married,Exec-managerial,Husband,Other,Female,34,39900
29,Private,Masters,12,Divorced,Other-service,Not-in-family,Asian-Pac-Islander,Male,1,127622
40,Unemployed,Bachelors,15,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,77,59746
59,Self-emp,Masters,4,Married,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,48,78879
39,Unemployed,Masters,15,Married,Other-service,Own-child,Amer-Indian-Eskimo,Male,8,123314
38,Government,Doctorate,6,Married,Sales,Own-child,Amer-Indian-Eskimo,Male,22,94190
44,Government,Some-college,6,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Female,68,18092
48,Unemployed,Doctorate,16,Separated,Craft-repair,Wife,Other,Female,34,125030
23,Government,Masters,10,Divorced,Craft-repair,Wife,White,Female,60,121880
44,Self-emp,Bachelors,14,Married,Tech-support,Unmarried,White,Male,45,79078
57,Government,HS-grad,6,Married,Exec-managerial,Not-in-family,Black,Male,37,58771
51,Self-emp,HS-grad,1,Widowed,Craft-repair,Own-child,Asian-Pac-Islander,Male,23,28064
29,Unemployed,Some-college,10,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,84,36700
62,Unemployed,Assoc,9,Divorced,Sales,Unmarried,Other,Male,24,94565
24,Government,Assoc,11,Single,Other-service,Not-in-family,Asian-Pac-Islander,Male,91,91184
27,Self-emp,HS-grad,7,Separated,Other-service,Not-in-family,Black,Male,13,32967
62,Government,Masters,7,Single,Tech-support,Wife,White,Female,69,92269
34,Private,Masters,11,Single,Other-service,Not-in-family,Other,Male,80,80045
43,Private,Doctorate,7,Separated,Sales,Not-in-family,White,Female,60,78700
38,Private,Some-college,2,Widowed,Exec-managerial,Not-in-family,Other,Male,38,35574
45,Private,Doctorate,2,Widowed,Other-service,Husband,Amer-Indian-Eskimo,Female,48,123706
63,Government,Assoc,6,Separated,Other-service,Own-child,Other,Female,93,89504
19,Private,HS-grad,7,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,26,51259
60,Self-emp,Masters,3,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,86,115109
18,Unemployed,HS-grad,13,Divorced,Craft-repair,Wife,White,Female,88,34756
68,Unemployed,Bachelors,4,Divorced,Sales,Wife,Other,Female,77,80458
53,Private,HS-grad,14,Divorced,Other-service,Wife,Other,Male,85,30135
68,Private,Bachelors,12,Married,Prof-specialty,Own-child,Black,Female,1,77267
43,Private,Doctorate,3,Married,Sales,Unmarried,White,Female,4,107311
46,Government,Doctorate,7,Widowed,Tech-support,Not-in-family,Asian-Pac-Islander,Female,67,134825
38,Unemployed,Assoc,7,Married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,87,87402
28,Private,HS-grad,4,Married,Tech-support,Wife,Asian-Pac-Islander,Female,80,42234
57,Self-emp,HS-grad,13,Divorced,Other-service,Own-child,Black,Male,13,54408
28,Private,Bachelors,7,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Male,39,72764
53,Unemployed,Doctorate,5,Separated,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,31,134444
66,Private,Bachelors,1,Divorced,Sales,Wife,White,Female,24,80418
56,Unemployed,Doctorate,10,Separated,Sales,Unmarried,Black,Female,79,128290
57,Private,Bachelors,4,Separated,Exec-managerial,Husband,Other,Female,5,83833
52,Self-emp,Doctorate,7,Married,Prof-specialty,Not-in-family,Other,Male,49,90132
51,Private,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,86,87148
64,Self-emp,Doctorate,16,Married,Tech-support,Own-child,Asian-Pac-Islander,Male,86,124311
41,Self-emp,Some-college,16,Divorced,Prof-specialty,Unmarried,Other,Male,11,23489
39,Private,Bachelors,15,Married,Sales,Wife,Black,Male,24,98600
22,Self-emp,HS-grad,2,Married,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,45,42468
50,Government,Assoc,2,Married,Exec-managerial,Husband,Asian-Pac-Islander,Male,74,64718
53,Private,Some-college,1,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,Male,34,21166
64,Private,Some-college,2,Married,Sales,Own-child,Asian-Pac-Islander,Female,11,39388
37,Self-emp,Bachelors,10,Single,Sales,Wife,Black,Female,57,87912
36,Self-emp,Assoc,14,Single,Sales,Wife,Amer-Indian-Eskimo,Female,29,43011
52,Private,HS-grad,8,Single,Prof-specialty,Wife,Black,Female,22,31551
69,Government,Some-college,11,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo,Male,33,26113
60,Self-emp,HS-grad,8,Married,Craft-repair,Unmarried,Asian-Pac-Islander,Female,72,42176
34,Self-emp,Doctorate,8,Single,Other-service,Own-child,Black,Male,49,132318
62,Unemployed,Assoc,15,Separated,Other-service,Own-child,Asian-Pac-Islander,Female,96,92499
60,Government,Masters,16,Single,Tech-support,Husband,Asian-Pac-Islander,Male,23,149655
51,Government,Doctorate,1,Divorced,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,69,134532
26,Private,Assoc,1,Widowed,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,95,64485
43,Government,Bachelors,12,Married,Craft-repair,Wife,Black,Female,29,50437
19,Private,Bachelors,10,Widowed,Exec-managerial,Unmarried,Other,Male,6,79535
26,Unemployed,HS-grad,4,Widowed,Prof-specialty,Unmarried,White,Female,52,51944
26,Government,Some-college,6,Divorced,Craft-repair,Wife,Amer-Indian-Eskimo,Female,89,20910
57,Self-emp,Masters,8,Divorced,Exec-managerial,Wife,Asian-Pac-Islander,Female,89,83443
34,Unemployed,Bachelors,13,Divorced,Tech-support,Own-child,White,Female,95,59873
18,Private,Assoc,2,Separated,Exec-managerial,Not-in-family,Black,Female,14,80724
42,Unemployed,Some-college,13,Single,Tech-support,Own-child,White,Male,17,31391
60,Private,Some-college,16,Married,Other-service,Husband,White,Male,80,38146
57,Unemployed,Assoc,3,Divorced,Other-service,Husband,Other,Female,28,82252
59,Private,Some-college,6,Married,Sales,Unmarried,Other,Male,9,19047
42,Government,Bachelors,10,Married,Sales,Unmarried,White,Female,66,80144
56,Self-emp,Assoc,4,Married,Exec-managerial,Not-in-family,Other,Female,4,78198
52,Private,Assoc,12,Divorced,Sales,Unmarried,Other,Female,20,89284
20,Unemployed,HS-grad,2,Divorced,Prof-specialty,Husband,White,Female,41,50102
67,Private,Masters,7,Single,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,36,133212
54,Private,HS-grad,4,Divorced,Craft-repair,Husband,Other,Female,6,34689
61,Private,Masters,8,Divorced,Prof-specialty,Wife,White,Female,65,93054
61,Unemployed,Assoc,8,Married,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,50,82042
68,Self-emp,Some-college,7,Single,Other-service,Not-in-family,Other,Female,64,23410
47,Government,Masters,10,Widowed,Tech-support,Own-child,White,Female,3,83325
55,Self-emp,Assoc,9,Divorced,Sales,Unmarried,Other,Male,37,41094
51,Private,Assoc,4,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Male,3,69272
29,Unemployed,HS-grad,7,Widowed,Sales,Unmarried,White,Female,33,47893
36,Self-emp,HS-grad,10,Married,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,59,27935
54,Private,Some-college,10,Single,Prof-specialty,Own-child,Asian-Pac-Islander,Female,15,34318
61,Government,Doctorate,15,Married,Tech-support,Unmarried,Black,Male,56,136998
66,Government,Bachelors,12,Separated,Sales,Wife,Asian-Pac-Islander,Female,61,99863
34,Government,Doctorate,1,Divorced,Prof-specialty,Wife,Other,Female,68,133106
27,Private,Doctorate,4,Separated,Craft-repair,Husband,Amer-Indian-Eskimo,Female,79,100592
66,Unemployed,Some-college,2,Divorced,Other-service,Not-in-family,White,Female,71,23458
64,Self-emp,Masters,9,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,68,82803
29,Government,Some-college,16,Widowed,Tech-support,Husband,Other,Male,62,35799
33,Private,Some-college,5,Divorced,Sales,Wife,White,Female,67,29178
41,Private,Assoc,3,Divorced,Craft-repair,Wife,Asian-Pac-Islander,Male,23,56672
36,Self-emp,Assoc,4,Separated,Other-service,Wife,Amer-Indian-Eskimo,Female,14,76088
25,Government,Assoc,6,Single,Prof-specialty,Own-child,Black,Male,6,56140
48,Private,Bachelors,10,Separated,Prof-specialty,Own-child,Other,Male,33,41324
38,Self-emp,Masters,1,Divorced,Craft-repair,Wife,Other,Male,9,103185
34,Unemployed,Masters,7,Divorced,Sales,Not-in-family,Amer-Indian-Eskimo,Female,12,133514
40,Unemployed,Assoc,8,Single,Other-service,Own-child,Asian-Pac-Islander,Female,99,88564
54,Unemployed,Doctorate,7,Married,Tech-support,Unmarried,Asian-Pac-Islander,Male,95,82552
33,Government,Bachelors,7,Single,Sales,Own-child,Black,Female,51,70143
23,Self-emp,Doctorate,9,Married,Exec-managerial,Unmarried,Black,Male,3,148332
25,Self-emp,HS-grad,13,Divorced,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,56,44894
42,Private,Masters,4,Widowed,Exec-managerial,Wife,White,Male,46,75841
35,Private,Masters,14,Widowed,Craft-repair,Unmarried,Asian-Pac-Islander,Male,36,136672
